Name;Updates;License;Language;Source Code Provided;AJAX Usage;Digital Downloads;eBay Listing Integration;eBay Order Import;Multiple Skins;Point of Sale Order Management;Subscriptions;Taxation;Template Engine
IzzoNet;Automatic;Proprietary;PHP;No;Yes;Yes;Yes;Yes;No;Coming soon;Coming soon;Yes;Yes
AbanteCart;Free;GPL;PHP;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes
Ashop Commerce;Free;Proprietary;ASP_NET;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
24SevenCart;Free;GPL;PHP;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Avactis;Free for Life;Free, Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes
AdVantShop_NET;Free;Proprietary;ASP_NET;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
AspDotNetStorefront;Free;Proprietary;ASP_NET;Paid;Yes;Yes;3rd party Module;3rd party Module;Yes;3rd party Module;Yes;Yes;Yes
Batavi;Free;GPL;PHP;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes
BigCommerce;Free;Proprietary;PHP;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Bitcart;Free;Proprietary;PHP;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
CartXpress;Free;Proprietary;PHP;Yes;No;Yes;No;No;No;No;Yes;Yes;No
CARTZ Link;Free;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
CoreCommerce;Automatic;Proprietary;PHP;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes
CRUCIAL SOLUTION;Free for Life;Proprietary;ASP_NET;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
CS-Cart;Free for 12 months;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
Cube Cart;Free for Life;Proprietary;PHP;Yes;No;Yes;No;No;Yes;No;No;Yes;Yes
DantoCart;Free for Life;GNU,GPL;PHP;;No;Yes;Yes;No;Yes;;No;;Yes
eCommerce Framework G5 (ECF);Free;Proprietary;ASP_NET 3_5;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
Ecommerce Shopping Cart Software;Free;GPL;PHP;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes
Ecommerce Templates;Free for 6 months;Proprietary;PHP, ASP;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes
Flying Cart;Free;GPL;PHP;No;Yes;No;No;No;Yes;Yes;No;Yes;Yes
Fortune3;Free for Life;Proprietary;PERL;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
Go Ecommerce;Free for Life;Proprietary;Java, AJAX;No;Yes;No;No;No;No;No;Yes;Yes;Yes
Interspire Shopping Cart;Free for 12 months;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes
iScripts Multicart;Free for 12 months;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No
JadaSite;Free;GPL v3;Java;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes
JShop Server;Free for Life;Proprietary;PHP;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes
k-eCommerce;Free;Proprietary;ASP_NET;No;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
KonaKart;Free;GNU LGPL;Java;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
LiteCommerce;Free;OSL 3_0;PHP;Yes;Yes;No;No;No;No;No;No;Yes;Yes
LiveCart;Free for Life;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes
Magento;Free;OSL 3_0;PHP;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
ePages;Free;Proprietary;Perl, Java;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
nopCommerce;Free;nopCommerce Public License;ASP_NET;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
OpenCart;Free;GPL;PHP;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
osCommerce;Free;GPL;PHP;Yes;Yes;Yes;No;No;;Yes;Yes;Yes;Yes
OXID eShop;Free;GPL, Proprietary;PHP;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
PDshop;Free;Proprietary License;ASP_NET;No;;;No;No;;Yes;;;No
PhPepperShop;Free;Proprietary, GPL;PHP;Yes;No;Yes;No;No;No;No;No;Yes;Yes
Pinnacle Cart;Free;Proprietary;PHP;Yes;Yes;Yes;Yes;No;Yes;3rd party Module;Yes;Yes;Yes
PrestaShop;Free;OSL 3_0;PHP;Yes;Yes;Yes;ebay_fr or Module;ebay_fr or Module;Yes;No;Yes;Yes;Yes
ProductCart;Free for 90 days;Proprietary;ASP;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes
RomanCart;Free;Proprietary;ASP;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes
SearchFit;Free;Proprietary;PHP;No;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
SEOshop;Free;Proprietary;PHP;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
ShopCMS;Free;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
Shopping Cart Gold;Free;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;No
ShoppingCart_ORG;Free;Proprietary;PERL;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes
Shopify;Free;Proprietary;Ruby on Rails;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
Shopizer;Free;LGPL;Java;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes
SunShop;Free for 12 months;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes
Superia Commerce;FREE;Proprietary;ASP_NET;Yes;Yes;No;No;No;Yes;No;Yes;Yes;Yes
TomatoCart;Free;GPL;PHP;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
TOUGHCartz;Free;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
Usercart 8 Infinity;Free;Proprietary;PHP;No;Yes;Yes;No;No;Yes;Yes;No;Yes;No
VirtueMart for Joomla!;Free;GPL;PHP;Yes;Yes;Yes;No;No;Yes;;Yes;Yes;Yes
Volusion;Free;Proprietary;ASP_NET;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
VP-ASP Shopping Cart;Free for 12 months;Proprietary;ASP;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
WebAsyst Shop-Script;Free for 12 months;Proprietary;PHP;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes
X-Cart;Free for Life;Proprietary;PHP;Yes;Yes;Yes;3rd party Module;3rd party Module;Yes;3rd party Module;No;Yes;Yes
xrow E-Commerce;Free;GPL;PHP;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes
Zen Cart;Free;GPL;PHP;Yes;No;Yes;No;No;Yes;No;Yes;Yes;No
Zeus Cart;Free;GPL;PHP;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
