Identifior,HTML,CSSStylesheets,PrinterFriendly,MobileFriendly,ThemesSkins,RSSFeeds,ATOMFeeds,Abbreviations,AutoTOC,RawExport,HTMLExport,XMLexport,PDFExport
Groupswiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Sputnik,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
Socialtext,N_A,N_A,N_A,Link,Http__www_example_com,Headline,Bold,Italics_,N_A,Premonospace_pre,Strikethrough,N_A,N_A
TracWiki,X3,Yes,Yes,No,No,X3,Yes,No,X3,No,No,No,No
OpenWikiNG,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
Hatta,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
MidgardWiki,X2,No,X2,X2,No,No,No,Contents,WikipageWikipagelinklabel,Externallinkhttp__www_example_net,TopLevelHeadingSmallerHeadingSmallestHeading,Bold,Italics_
SubWiki,No,No,N_A,N_A,N_A,No,N_A,N_A,Level1Level2Level3Level4,Bold,Italic,No,Monospaced
UseMod,No,No,N_A,N_A,N_A,No,N_A,N_A,Level1Level2Level3Level4Level5Level6,Bold,Italic,Uunderline_u,Ttformonospacetext_tt
Nexdo,HTML,HTML,N_A,HTML,HTML,HTML,HTML,HTML,N_A,N_A,N_A,N_A,N_A
Intodit,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MoniWiki,X2,Yes,Yes,Yes,X3,X3,Yes,No,X3,X3,X3,No,X3
PBwiki,X3,X2,X3,CamelCaseLinkorFreeLink,Http__www_externallink_com,Level1Level2Level3Level4Level5Level6,Bold,Italics,Underline__,Codemonospace_code,Strikethrough,Supsuperscript_sup,Subsubscript_sub
XoWiki,Yes,X2,N_A,N_A,N_A,N_A,Yes,Yes,Yes,Yes,N_A,N_A,N_A
JaWiki,N_A,N_A,N_A,N_A,Yes,N_A,Yes,Yes,No,No,No,No,No
PukiWiki,No,X3,X3,No,No,No,X3,No,X3,No,X3,No,No
Wiki,No,No,No,PagenameorAliaspagenameorAliaspagename,Http__somewhere_else_orhttp__somewhere_else_orAliashttp__somewhere_elseorAliashttp__somewhere_else,HeadlineHeadlineHeadline,Boldorboldboldtext,Iitalicstext,Uunderline,N_A,Deltextor,Suptext,Subtext
WikiSpot,No,No,No,FrontPage,Http__www_example_com,HeadlineSubHeading,Bold,Italic,Underline__,Monospace,XStrikethroughX,Superscript,Subscript
Bitweaver,N_A,Yes,N_A,N_A,N_A,Yes,Yes,N_A,Yes,Yes,N_A,N_A,Yes
Gazest,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Alink,Alabelhttp__example_comorplugin,FirstLevelSecondLevelorFirstLevelSecondLevelorplugin,Boldorplugin
Gitit,No,Yes,Yes,No,Yes,No,Yes,Yes,N_A,N_A,No,No,No
SamePage,HTML4,Yes,PrintView,N_A,Yes,Yes,Yes,Yes,X3,No,Yes,Yes,Yes
EditMe,Yes,Yes,No,PageNameorUseWYSIWYGeditor,Http_____LinkTextorUseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditorCtlB,UseWYSIWYGeditorCtlI,UseWYSIWYGeditorCtlU,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor
ThoughtFarmer,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WikkaWiki,X4,X4,Yes,X3,X4,No,Yes,No,Yes,No,No,No,Yes
WikionaStick,N_A,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,N_A,No
WxWikiServer,No,No,No,No,No,CamelCaseAnotherLinkgotoalink,Http__www_powerslave_comhttp__www_external_comxternallink,Headingheadingheadingupto5signs_,Boldtext,Italictext,N_A,Startlinewithblankspace_,N_A
MindTouch,XHTML1_1,Yes,PrintView,X3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DokuWiki,Yes,Yes,Yes,Yes,No,X3,Yes,No,Yes,X3,No,X3,X3
BusinessWiki,XHTML1_0Transitional,X2,PrintView,Yes,Yes,Yes,Yes,N_A,N_A,N_A,Yes,Yes,Yes
ProWiki,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
UniWakka,No,No,N_A,N_A,N_A,No,N_A,N_A,PageTitlePartSectionSubSectionSubSubSection,Bold,Italics__,Underline__,Monospace
WikiNi,No,N_A,Yes,No,No,X3,X3,N_A,X3,X3,No,No,No
Wiclear,No,Yes,No,No,No,No,No,No,No,Title,Titlehttp__url_to_,Title1title2title3,Bold__
MediaWiki,No,Yes,Yes,Yes,Yes,X3,Yes,Yes,X3,X3,No,No,X3
KeheiWiki,Yes,Yes,Yes,Yes,No,No,X3,X3,Yes,Yes,No,No,No
PodWiki,Yes,No,X2,X2,No,No,No,No,PODLSandboxLLinkDescriptionSandboxCreoleSandboxSandboxLinkDescriptionBBcodeurlSandbox_urlurlSandboxLinkDescription_url,Lhttp__www_daemon_de,Head1TheWeather,Bbold,Iitalics
XWiki,X3,X2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,X2
Yawiki,N_A,Yes,N_A,N_A,N_A,N_A,N_A,N_A,N_A,SimpleLink,Http__yawiki_jzonic_org,HeaderHeaderHeader,Boldbold
WackoWiki,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,X3
MetadotWiki,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,Menudriven,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,N_A,N_A
LionWiki,No,Yes,No,No,No,No,X3,No,Yes,Yes,No,No,No
Oddmuse,No,X3,Yes,Yes,No,No,X2,Yes,No,No,No,No,No
ErfurtWiki,X2,X3,Yes,Yes,X2,X2,X3,No,X3,X3,No,No,No
Telepark_wiki,N_A,N_A,N_A,N_A,N_A,N_A,Yes,N_A,Yes,Yes,N_A,N_A,N_A
Pier,N_A,Yes,N_A,N_A,Yes,N_A,N_A,N_A,N_A,Pagenamelinktextpagename,Http_____linktexthttp_____,Text,Viahtml
PAUX,X2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
TrikiWiki,No,X3,No,No,No,No,Yes,No,X2,X2,No,No,No
SharePointWikiPlus,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No
Swirrl,No,No,No,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
JOTWiki,Yes,No,Yes,Yes,No,No,No,Filenamesonly,MyOtherPageMyOtherPagesection_3page_23MyOtherPageother_namespacepagex,Http__www_google_comhttp__www_google_comGooglefile__c_tmp_mailtojohndoe_com,Largest2Medium4smallest,Boldtext,Italicformat__
WiGit,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Cospire,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiDoc,Yes,No,No,No,No,No,No,Filenamesonly,OtherpageOtherpagelinktosomeotherpage,Http__wiki_gorisek_com,Heading1,Thisisbold,Italic
KWikiKWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,WikiLinkWikiLink,LinkTexthttp__www_foo_comhttp__www_foo_commailfoo_com,Level1HeadingH1Level2HeadingH2Level3HeadingH3Level4HeadingH4Level5HeadingH5Level6HeadingH6,Boldtext,Italictext_,Underscoretext_
PortiliTeamWiki,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No
WikiASP,No,No,No,No,No,No,No,WikiWord,NewCnnhttp__www_cnn_com,Headline1Headline2Headline3Headline4,BoldFormatboldBoldFormat_b,Thequotation,N_A
Clearspace,Yes,Yes,Yes,X2,Yes,No,No,No,Keywords,Link,Http__example_com,H1_h2_h3_h4_h5_,Bold
PmWiki,X3,X3,Yes,X3,X3,X3,X2,X2,X3,X3,X3,X3,N_A
BrainKeeper,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Ikiwiki,No,X3,Yes,Yes,No,No,Yes,Yes,X2,X2,No,No,No
BLADEWiki,No,Yes,Yes,Yes,No,No,Yes,N_A,N_A,N_A,N_A,N_A,N_A
Wicked,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No
CanvasWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,Yes,Yes,Yes,X3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Incentive,XHTML1_1,Yes,PrintCSS,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,X3
WalaWiki,No,No,No,No,No,No,No,No,LinkDumplinkdump,Http__p1k3_com_p1k3,Headline,Bolded,Italicized
WikiSH,No,No,No,No,No,CamelCase,Http__wikish_do_homeunix_org,ThisisbigThisismediumThisissmall,Bold,Italic,N_A,Thisis_sourcecode,N_A
PhpWiki,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
Sycamore,Yes,Yes,Yes,No,X4,No,Yes,Yes,No,No,No,No,No
MicKI,No,No,No,No,No,No,No,No,No,LookattheFeaturesforanicelist_,Clickhttp__foo_bar_oinkhereformore_,ThisisaheadlineThisisasubtitleThisisasubsubtitleetcetcetc_,Thissentencecontainssomeboldwords_
PersonalPPCWiki,No,X2,Yes,No,No,Yes,No,Yes,N_A,No,N_A,No,Filenamesonly
Foswiki,X3,Yes,Yes,Yes,X3,X3,Yes,Yes,X3,X3,X3,X3,X3
LunaWiki,Yes,No,No,Yes,No,No,No,No,TargetPage_Target_Page_Target_PageLabelled_page_with_different_name_,Somedomain_com_whateverdummyspam_comhttps__any_domain666fullURLsokfile__windowssharehttp__alsointranetmailtodummyspam_comLabelftp__some_long_url_uglywhatever,Toplevel2ndlevel3rdlevelEtc_,Likethis,Likethis_
DrupalWiki,Yes,Yes,Yes,Yes,X3,Yes,Yes,Yes,X3,X3,Yes,Yes,X3
VQWiki,No,No,No,Yes,No,No,Yes,No,No,No,No,No,X3
CodeBeamer,Yes,Yes,Yes,Yes,Yes,No,No,X3,Contents,Linktextlinktextwikilink,Http__www_intland_com_examplehttp__www_intland_com_textwikilink,Headingheadingheading,Text__
ProjectForum,No,Yes,X2,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No
JSPWiki,No,X3,Yes,X2,No,X3,Yes,Yes,X3,X3,No,No,No
Wikepage,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No
Luminotes,N_A,Yes,PrintView,N_A,No,Yes,No,No,Yes,No,Yes,No,No
Wikispaces,Yes,No,No,Pagenameorpagenamealiasorspacenamepagename,Http__somewhere_elsehttp__somewhere_elsealiasorhttp__somewhere_else,Headline1Headline2Headline3,Bold,Italics__,Underline__,Monospace,Viaeditortool,Viaeditortool,Viaeditortool
WikiCSharp_NET,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Instiki,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No
TWiki,X3,Yes,Yes,Yes,X3,X3,Yes,Yes,X3,X3,X3,X3,X3
TiddlyWiki,N_A,X3,X3,X3,N_A,X3,X3,No,X3,X3,No,X3,X3
GitWiki,No,X3,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No
Wagn,N_A,Yes,PrintCSS,Yes,Yes,Yes,No,No,Yes,No,No,No,No
MoinMoin,No,Yes,Yes,Yes,Yes,X3,Yes,No,Yes,Yes,Yes,Yes,No
ScrewTurnWiki,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No
ButorWiki,X3,Yes,Yes,X2,X2,No,No,No,Keywords,Ahref____a,Ahref____a,H1Header1_h1h2Header2_h2___,BBold_b
Jacwiki,Yes,No,No,No,No,No,No,No,Mainpage,Urlhttp_google_comGoogle_url,H1Headline1_h1,Bbold_b,Iitalics_i
GeniusWiki,HTML4,Yes,PrintView,N_A,Yes,Yes,N_A,N_A,Yes,N_A,Yes,Yes,N_A
Zwiki,N_A,X3,Yes,Yes,Yes,X4,Yes,No,Yes,Yes,No,No,No
ProntoWiki,No,N_A,N_A,No,No,No,N_A,Pagename,Titleurl,N_A,Bold,Italics,Under__
ClearWiki,Yes,Yes,N_A,UseWYSIWYGeditor,UseWYSIWYGeditorHTML,UseWYSIWYGeditorHTML,UseWYSIWYGeditorHTML,UseWYSIWYGeditorHTML,UseWYSIWYGeditorHTML,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor
WikiCrowd,No,No,No,No,No,No,X3,X3,Yes,X3,No,No,No
Giki,No,No,No,No,No,No,No,PagebeinglinkedtoTextoflinkNodetitle,Http__URL_Textofhttp__URL_localURL_htmlTextoflocalURL_html,HTMLh1____h1h2____h2GWSH1H2H3,HTMLbBold_bGWSBold,HTMLiItalic_iGWS__Italic__,HTMLuUnderline_uGWS__Underline__
PicoWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
GeboGebo,No,X2,Yes,Yes,No,No,Yes,No,X2,X2,No,No,No
Anwiki,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No
Springnote,Yes,N_A,WYSIWYGwithshortcutkeyCtrlSpace,WYSIWYGwithshortcutkeyCtrlSpace,WYSIWYGwithshortcutkeyAlt123456,WYSIWYGwithshortcutkeyCtrlB,WYSIWYGwithshortcutkeyCtrlI,WYSIWYGwithshortcutkeyCtrlU,WYSIWYG,WYSIWYGwithshortcutkeyCtrlK,WYSIWYG,WYSIWYG,WYSIWYGMultiUploadAlignmentandResizing
WikyBlog,No,Yes,No,No,No,No,No,No,No,Alinkalinkwithtitle,Http__example_orgThetitle,SectionSubsectionSubsubsection,Bold
BoltWire,Yes,X3,X3,Yes,X2,No,Yes,No,Yes,Yes,No,No,No
Wikia,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PageWork,Yes,Yes,X3,X3,No,No,Yes,Yes,Yes,Yes,No,No,No
Wetpaint,Yes,N_A,N_A,WYSIWYGlinkingWetpaintautosuggestsinternalpagestolink_,WYSIWYGexternallinking,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,N_A,N_A,N_A,N_A
ZohoWiki,N_A,N_A,N_A,AutomaticLinkingCamelCaseWYSIWYGlinking,AutomaticorWYSIWYGlinking,WYSIWYGwithshortcutkeysCTRL123456,WYSIWYGwithshortcutkey,WYSIWYGwithshortcutkey,WYSIWYGwithshortcutkey,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG
IkeWiki,X3,Yes,No,Yes,Yes,No,No,No,Contents,LinkLinkLabel,Http__www_example_comhttp__www_example_comLabel,ViaWYSIWYG,ViaWYSIWYG
Riki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ConnectedText,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
TikiWikiCMSGroupware,Yes,Yes,Yes,Yes,Yes,X3,Yes,Yes,Yes,Yes,Yes,No,X3
Netcipia,No,Yes,No,TestSpace_Page,Http__external_link_comortexthttp__external_link_com,X1Headlinelmevel11_1Headlinlevel21_1_1Healinelevel3etc_,Bold,Italic,Underline__,N_A,Strike,Sup_sup,Sub_sub
X3FWiki,No,X2,Yes,Yes,Yes,X2,Yes,Yes,Yes,Yes,Yes,No,No
FlexWiki,No,X2,No,X3,Yes,No,No,No,No,HomePage,WikiMatrixhttp__www_wikimatrix_org,Heading1,Boldorbold
WikiToolkit,No,No,No,No,No,No,No,No,N_A,N_A,N_A,N_A,N_A
CentralDesktop,Yes,Yes,N_A,WikiPage,Http__www_example_com,H1headline1_h1h2headline1_h2,Btext_b,Itext_i,Utext_u,Pretext_pre,Striketext_strike,Supsuperscript_sup,Subsubscript_sub
MiniWiki,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No
MojoMojo,No,X2,Yes,Yes,No,No,Yes,N_A,Yes,Yes,No,No,No
JAMWiki,No,X2,No,No,Yes,No,Yes,Yes,No,No,No,No,No
Pimki,X4,No,No,No,No,Yes,Yes,Filenamesonly,N_A,N_A,N_A,N_A,N_A
Friki,No,No,N_A,N_A,N_A,No,N_A,N_A,N_A,Bold,Italic,N_A,Monospace
Daisy,X2,Yes,Yes,Yes,X2,No,No,No,Keywords,N_A,N_A,N_A,N_A
CorendalWiki,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Wikidot,XHTML1_0Transitional,Yes,PrintView,X2,Yes,Yes,No,No,Yes,Yes,No,No,No
Confluence,HTML4,Yes,PrintCSS,X3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
