Software,APA,Chicago/Turabian,Harvard,MLA
2collab ,N/A,N/A,N/A,N/A
Aigaion ,Yes ,Yes ,Yes ,Yes 
Bebop ,No ,No ,No ,No 
BibDesk ,Yes ,No ,No ,No 
Biblioscape ,Yes ,Yes ,Yes ,Yes 
BibSonomy ,Yes ,No ,Yes ,No 
Bibus ,Yes ,No ,No ,No 
Bookends ,Yes ,Yes ,Yes ,Yes 
CiteULike ,Yes ,Yes ,Yes ,Yes 
Connotea ,N/A,N/A,N/A,N/A
EndNote ,Yes ,Yes ,Yes ,Yes 
JabRef ,Yes ,Yes ,Yes ,Yes 
Jumper 2.0 ,No ,No ,No ,No 
Mendeley ,Yes ,Yes ,Yes ,Yes 
Papers ,No ,No ,No ,No 
Pybliographer ,Yes ,No ,No ,No 
Qiqqa ,Yes ,Yes ,Yes ,Yes 
refbase ,Yes ,Yes ,Yes ,Yes 
RefDB ,Yes ,Yes ,Yes ,Yes 
Reference Manager ,Yes ,Yes ,Yes ,Yes 
Referencer ,N/A,N/A,N/A,N/A
RefWorks ,Yes ,Yes ,Yes ,Yes 
Scholar's Aid ,Yes ,Yes ,Yes ,Yes 
Sente ,Yes ,Yes ,Yes ,Yes 
Wikindx ,Yes ,Yes ,Yes ,Yes 
WizFolio ,Yes ,Yes ,Yes ,Yes 
Zotero ,Yes ,Yes ,Yes ,Yes